epoch,loss_mean,acc_mean
1,0.8612506,0.7252151
2,0.5068332,0.8268468
3,0.4107,0.8584548
4,0.3472744,0.8797129
5,0.29893327,0.89626074
6,0.26093596,0.909287
7,0.22969382,0.92001647
8,0.20414901,0.9289781
9,0.18231349,0.93649846
10,0.16356269,0.943133
11,0.14758861,0.94872123
12,0.13340017,0.9535122
