epoch,loss_mean,acc_mean
1,0.89712477,0.7057469
2,0.6080694,0.7912449
3,0.52444714,0.8186761
4,0.46855742,0.8373197
5,0.4269002,0.8511077
6,0.39340752,0.862424
7,0.36544102,0.8720158
8,0.3412777,0.8802682
9,0.32029206,0.8871244
10,0.3019492,0.8935482
11,0.28540644,0.899423
12,0.2712089,0.9043571
