epoch,loss_mean,acc_mean
1,1.1446176,0.62507087
2,0.8410344,0.7134539
3,0.7469145,0.74360836
4,0.68474066,0.7641521
5,0.6369277,0.7795321
6,0.5984379,0.7920509
7,0.56604147,0.8027159
8,0.5377767,0.8122009
9,0.5121106,0.82055247
10,0.4896039,0.82804126
11,0.46855506,0.8351408
12,0.45015138,0.84129715
