epoch,loss_mean,acc_mean
1,0.90570325,0.7031183
2,0.6113556,0.7905124
3,0.5273817,0.8183222
4,0.47235268,0.8360548
5,0.4302714,0.8502265
6,0.3968688,0.8611387
7,0.36920798,0.87068254
8,0.34536338,0.87887704
9,0.32382718,0.8860487
10,0.30513316,0.89250386
11,0.28863788,0.8981074
12,0.27409512,0.9032691
