epoch,loss_mean,acc_mean
1,1.1044668,0.64485025
2,0.7415816,0.7474753
3,0.638598,0.7809206
4,0.5674277,0.8041164
5,0.5119225,0.8222839
6,0.4654048,0.83769923
7,0.42606276,0.8510617
8,0.39059582,0.8630041
9,0.36010703,0.87342083
10,0.33262673,0.8829771
11,0.30771908,0.8915242
12,0.2850036,0.89948523
